link,title,logo_img,company_name,model_count
https://autos.maxabout.com/bikes/techo-electra,Techo Electra Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//T/2019/9/techno-electra.jpg/,Techo Electra,1
https://autos.maxabout.com/bikes/terra,Terra Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//T/2015/2/terra-logo.jpg/,Terra,2
https://autos.maxabout.com/bikes/tork,Tork Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//T/2016/9/tork-motorcycles.jpg/,Tork,1
https://autos.maxabout.com/bikes/triumph,Triumph Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//T/2017/6/triumph-autos-maxabout.jpg/,Triumph,18
https://autos.maxabout.com/bikes/tvs,TVS Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//T/2020/11/tvs-motor-official-logo.jpg/,TVS,51
https://autos.maxabout.com/bikes/ultra-motors,Ultra Motors Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/ultra-motors-36.jpg/,Ultra Motors,5
https://autos.maxabout.com/bikes/ultraviolette,Ultraviolette Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//U/2020/12/ultraviolette-motorcycles.jpg/,Ultraviolette,1
https://autos.maxabout.com/bikes/um-global,UM Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//U/2015/2/um-global-logo.jpg/,UM,7
https://autos.maxabout.com/bikes/vespa,Vespa Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//L/2020/6/latest-vespa-scooters-india.jpg/,Vespa,17
https://autos.maxabout.com/bikes/vibgyor,Vibgyor Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/vibgyor-53.jpg/,Vibgyor,4
https://autos.maxabout.com/bikes/victory,Victory Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/victory-73.jpg/,Victory,6
https://autos.maxabout.com/bikes/vijaya,Vijaya Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//V/2015/2/vijaya-logo.jpg/,Vijaya,3
https://autos.maxabout.com/bikes/vyrus,Vyrus Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/-71.jpg/,Vyrus,3
https://autos.maxabout.com/bikes/walkman-world,Walkman World Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//W/2015/2/walkman-world.jpg/,Walkman World,1
https://autos.maxabout.com/bikes/xite,Xite Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//X/2015/2/xite-logo.jpg/,Xite,4
https://autos.maxabout.com/bikes/xs-bikes,XS-Bikes Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//X/2015/2/xs-bikes-logo.jpg/,XS-Bikes,2
https://autos.maxabout.com/bikes/yamaha,Yamaha Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//Y/2017/6/yamaha-autos-maxabout.jpg/,Yamaha,79
https://autos.maxabout.com/bikes/yash,Yash Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//Y/2015/2/yash-logo.jpg/,Yash,4
https://autos.maxabout.com/bikes/yezdi,Yezdi Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//N/2019/8/new-yezdi-logo.jpg/,Yezdi,5
https://autos.maxabout.com/bikes/yobykes,YO Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/yobykes-14.jpg/,YO,12
https://autos.maxabout.com/bikes/youth,Youth Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos/youth-26.jpg/,Youth,2
https://autos.maxabout.com/bikes/yukie,Yukie Bikes,https://ic1.maxabout.us/autos/tw_india/company-logos//Y/2019/9/yukie-scooters.jpg/,Yukie,1
